,0,1,2,3,4
0,亞洲股市指數行情,亞洲股市指數行情,亞洲股市指數行情,亞洲股市指數行情,亞洲股市指數行情
1,股市,指數,漲跌,比例,當地
2,紐西蘭,11735.46,-113.67,-0.96%,15:19
3,澳洲股市,6331.00,62.30,0.99%,14:39
4,日經225,23101.76,50.68,0.22%,11:35
5,東證一部,1612.99,2.14,0.13%,11:30
6,東證二部,6610.27,-9.96,-0.15%,11:30
7,JASDAQ,166.75,0.59,0.36%,11:30
8,韓國股市,2370.30,22.06,0.94%,12:40
9,台灣加權,12886.86,14.72,0.11%,11:19
10,台灣店頭,165.39,0.85,0.52%,11:19
11,上海綜合,3440.71,-10.38,-0.30%,11:40
12,上海A股,3606.50,-10.91,-0.30%,11:39
13,上海B股,244.46,0.61,0.25%,11:40
14,深圳A股,2385.64,-20.06,-0.83%,11:25
15,深圳B股,940.73,1.50,0.16%,11:25
16,滬深300,4786.66,-26.09,-0.54%,11:40
17,深證成指,13615.63,-152.54,-1.11%,11:09
18,中小板指,9094.10,-81.07,-0.88%,11:25
19,創業板指,2641.02,-60.04,-2.22%,11:10
20,香港恆生,25359.51,-7.87,-0.03%,11:40
21,香港國企,10425.42,39.52,0.38%,16:08
22,香港紅籌,4183.71,33.87,0.82%,16:08
23,香港創業板,108.22,0.19,0.18%,16:27
24,新加坡,2565.31,2.22,0.09%,11:25
25,菲律賓,6113.72,-42.73,-0.69%,11:24
26,馬來西亞,1578.94,1.09,0.07%,11:25
27,越南股市,848.29,1.86,0.22%,10:39
28,泰國股市,1330.00,-0.11,-0.01%,10:24
29,印尼股市,5287.58,-7.59,-0.14%,10:39
30,印度股市,38528.32,477.54,1.26%,17:52
