0,1,2,3,4
亞洲股市指數行情,亞洲股市指數行情,亞洲股市指數行情,亞洲股市指數行情,亞洲股市指數行情
股市,指數,漲跌,比例,當地
紐西蘭,11840.45,-85.81,-0.72%,15:11
澳洲股市,7332.00,-78.90,-1.06%,13:31
日經225,25014.50,-675.90,-2.63%,11:31
東證一部,1794.88,-35.15,-1.92%,11:11
東證二部,6939.97,-20.72,-0.30%,11:04
JASDAQ,156.12,-2.21,-1.40%,11:11
韓國股市,2653.64,-26.68,-1.00%,11:31
台灣加權,17317.64,-115.56,-0.66%,10:32
台灣店頭,209.82,-1.24,-0.59%,10:12
上海綜合,3255.86,-40.23,-1.22%,10:20
上海A股,3412.47,-42.10,-1.22%,10:20
上海B股,275.38,-0.85,-0.31%,10:14
深圳A股,2243.22,-17.84,-0.79%,10:08
深圳B股,1083.31,-10.20,-0.93%,10:08
滬深300,4233.52,-59.32,-1.38%,10:20
深證成指,12277.73,-93.22,-0.75%,10:01
中小板指,8406.38,-73.57,-0.87%,10:08
創業板指,2609.85,-25.34,-0.96%,09:53
香港恆生,20196.00,-694.26,-3.32%,10:31
香港國企,6946.13,-309.69,-4.27%,10:16
香港紅籌,3934.93,-83.25,-2.07%,10:17
恆生科技,4393.91,11.59,0.26%,03/09
香港創業板,43.62,-1.41,-3.13%,10:31
新加坡,3239.89,-0.84,-0.03%,10:17
菲律賓,7052.28,-72.52,-1.02%,10:16
馬來西亞,1564.93,-15.60,-0.99%,10:16
越南股市,1477.18,-1.90,-0.13%,09:31
泰國股市,1647.08,3.44,0.21%,16:45
印尼股市,6894.83,-29.18,-0.42%,09:21
印度股市,55464.39,817.06,1.50%,17:56
